dataset,model,split,seed,metric,beta,best_threshold,min_threshold,best_score,best_val_f1,best_val_precision,best_val_recall
SKAB,CNN,fold_4,123,f1,2.0,0.7,0.1,0.8910171730515192,0.8910171730515192,0.9839533187454412,0.8141219070609536
SKAB,LSTM,fold_0,2026,f1,2.0,0.67,0.1,0.8529040404040404,0.8529040404040404,0.8682519280205655,0.8380893300248139
SKAB,GRU,fold_0,2026,f1,2.0,0.99,0.1,0.8522218394764037,0.8522218394764037,0.9581719597211464,0.7673697270471465
SKAB,CNN,fold_0,2026,f1,2.0,0.69,0.1,0.8530805687203792,0.8530805687203792,0.9388971684053651,0.7816377171215881
SKAB,LSTM,fold_1,2026,f1,2.0,0.21,0.1,0.8921001926782274,0.8921001926782274,0.9971284996410624,0.8070889018012783
SKAB,GRU,fold_1,2026,f1,2.0,0.31,0.1,0.8951406649616368,0.8951406649616368,0.9950248756218906,0.8134805345729227
SKAB,CNN,fold_1,2026,f1,2.0,0.33,0.1,0.8855058674278465,0.8855058674278465,0.9748603351955307,0.8111563044741429
SKAB,LSTM,fold_2,2026,f1,2.0,0.31,0.1,0.8787618228718831,0.8787618228718831,0.9951314508276533,0.7867590454195535
SKAB,GRU,fold_2,2026,f1,2.0,0.28,0.1,0.8837606837606837,0.8837606837606837,0.9932756964457252,0.7959969207082371
SKAB,CNN,fold_2,2026,f1,2.0,0.57,0.1,0.8776916451335056,0.8776916451335056,0.9960899315738025,0.7844495765973826
SKAB,LSTM,fold_3,2026,f1,2.0,0.73,0.1,0.8,0.8,0.999129677980853,0.6670540383497966
SKAB,GRU,fold_3,2026,f1,2.0,0.21,0.1,0.7924921793534933,0.7924921793534933,0.986159169550173,0.6624055781522371
SKAB,CNN,fold_3,2026,f1,2.0,0.22,0.1,0.7923515598792351,0.7923515598792351,0.9373015873015873,0.6862289366647298
SKAB,LSTM,fold_4,2026,f1,2.0,0.57,0.1,0.9099128188569583,0.9099128188569583,0.9811977715877437,0.8482841661649608
SKAB,GRU,fold_4,2026,f1,2.0,0.96,0.1,0.8927989573150863,0.8927989573150863,0.9730113636363636,0.8248043347381095
SKAB,CNN,fold_4,2026,f1,2.0,0.75,0.1,0.8845901639344262,0.8845901639344262,0.9712023038156947,0.8121613485851896
SKAB,LSTM,fold_0,7,f1,2.0,0.2,0.1,0.7606745604592752,0.7606745604592752,0.9506726457399103,0.6339712918660287
SKAB,GRU,fold_0,7,f1,2.0,0.19,0.1,0.7987243090007087,0.7987243090007087,0.98,0.6740430622009569
SKAB,CNN,fold_0,7,f1,2.0,0.35,0.1,0.8163136263041416,0.8163136263041416,0.8658618376928237,0.7721291866028708
SKAB,LSTM,fold_1,7,f1,2.0,0.3,0.1,0.8044728434504792,0.8044728434504792,0.8948116560056859,0.730702263493906
SKAB,GRU,fold_1,7,f1,2.0,0.74,0.1,0.8001387925052047,0.8001387925052047,0.994823123382226,0.669181659895531
SKAB,CNN,fold_1,7,f1,2.0,0.18,0.1,0.7869352869352869,0.7869352869352869,0.8300064391500322,0.7481137550783518
SKAB,LSTM,fold_2,7,f1,2.0,0.75,0.1,0.9067273318167046,0.9067273318167046,0.9830866807610994,0.8413751507840772
SKAB,GRU,fold_2,7,f1,2.0,0.37,0.1,0.9114649681528663,0.9114649681528663,0.9655870445344129,0.8630880579010857
SKAB,CNN,fold_2,7,f1,2.0,0.49,0.1,0.8891044293566117,0.8891044293566117,0.9581881533101045,0.8293124246079614
SKAB,LSTM,fold_3,7,f1,2.0,0.18,0.1,0.8680908782638183,0.8680908782638183,1.0,0.7669263031755542
SKAB,GRU,fold_3,7,f1,2.0,0.86,0.1,0.859375,0.859375,0.9921568627450981,0.7579388855602157
SKAB,CNN,fold_3,7,f1,2.0,0.49,0.1,0.8640321500334897,0.8640321500334897,0.979498861047836,0.7729179149191132
SKAB,LSTM,fold_4,7,f1,2.0,0.45,0.1,0.8919437340153452,0.8919437340153452,0.9971408148677627,0.8068247541931752
SKAB,GRU,fold_4,7,f1,2.0,0.2,0.1,0.8920863309352518,0.8920863309352518,0.9713896457765667,0.8247541931752458
SKAB,CNN,fold_4,7,f1,2.0,0.37,0.1,0.8801770471071767,0.8801770471071767,0.9707112970711297,0.8050896471949104
SKAB,LSTM,fold_0,999,f1,2.0,0.19,0.1,0.9134406263592867,0.9134406263592867,0.9990485252140818,0.8413461538461539
SKAB,GRU,fold_0,999,f1,2.0,0.24,0.1,0.9154746423927178,0.9154746423927178,0.9971671388101983,0.8461538461538461
SKAB,CNN,fold_0,999,f1,2.0,0.21,0.1,0.9062634989200864,0.9062634989200864,0.9831302717900656,0.8405448717948718
SKAB,LSTM,fold_1,999,f1,2.0,0.74,0.1,0.8991703892788768,0.8991703892788768,1.0,0.8168115942028985
SKAB,GRU,fold_1,999,f1,2.0,0.34,0.1,0.8968380709038646,0.8968380709038646,0.9985775248933144,0.8139130434782609
SKAB,CNN,fold_1,999,f1,2.0,0.57,0.1,0.8850793650793651,0.8850793650793651,0.9782456140350877,0.8081159420289855
SKAB,LSTM,fold_2,999,f1,2.0,0.57,0.1,0.8653407238343658,0.8653407238343658,0.9940074906367041,0.7661662817551963
SKAB,GRU,fold_2,999,f1,2.0,0.26,0.1,0.8737864077669902,0.8737864077669902,0.9941089837997055,0.7794457274826789
SKAB,CNN,fold_2,999,f1,2.0,0.31,0.1,0.8679738562091504,0.8679738562091504,1.0,0.766743648960739
SKAB,LSTM,fold_3,999,f1,2.0,0.32,0.1,0.7652111667859699,0.7652111667859699,0.9972014925373134,0.6207897793263647
SKAB,GRU,fold_3,999,f1,2.0,0.38,0.1,0.775052557813595,0.775052557813595,0.9770318021201413,0.6422764227642277
SKAB,CNN,fold_3,999,f1,2.0,0.3,0.1,0.726179170623615,0.726179170623615,0.7981906750173974,0.6660859465737514
SKAB,LSTM,fold_4,999,f1,2.0,0.24,0.1,0.8668810289389067,0.8668810289389067,0.975397973950796,0.7800925925925926
SKAB,GRU,fold_4,999,f1,2.0,0.18,0.1,0.8997772828507795,0.8997772828507795,0.9992932862190813,0.8182870370370371
SKAB,CNN,fold_4,999,f1,2.0,0.28,0.1,0.8879037365421153,0.8879037365421153,0.9804195804195804,0.8113425925925926
BATADAL,LSTM,test,42,f2,2.0,0.53,0.01,0.29245283018867924,0.1657754010695187,0.09627329192546584,0.5961538461538461
BATADAL,GRU,test,42,f2,2.0,0.55,0.01,0.43478260869565216,0.25688073394495414,0.15272727272727274,0.8076923076923077
BATADAL,CNN,test,42,f2,2.0,0.59,0.01,0.3978779840848806,0.27149321266968324,0.17751479289940827,0.5769230769230769
BATADAL,LSTM,test,123,f2,2.0,0.39,0.01,0.349025974025974,0.18695652173913044,0.1053921568627451,0.8269230769230769
BATADAL,GRU,test,123,f2,2.0,0.5,0.01,0.3542009884678748,0.19068736141906872,0.10776942355889724,0.8269230769230769
BATADAL,CNN,test,123,f2,2.0,0.59,0.01,0.42857142857142855,0.2727272727272727,0.16981132075471697,0.6923076923076923
BATADAL,LSTM,test,2026,f2,2.0,0.58,0.01,0.4662004662004662,0.29304029304029305,0.18099547511312217,0.7692307692307693
BATADAL,GRU,test,2026,f2,2.0,0.55,0.01,0.4060324825986079,0.2545454545454545,0.15695067264573992,0.6730769230769231
BATADAL,CNN,test,2026,f2,2.0,0.55,0.01,0.3723404255319149,0.2229299363057325,0.13358778625954199,0.6730769230769231
BATADAL,LSTM,test,7,f2,2.0,0.61,0.01,0.32608695652173914,0.19736842105263158,0.11904761904761904,0.5769230769230769
BATADAL,GRU,test,7,f2,2.0,0.52,0.01,0.3548387096774194,0.1896551724137931,0.10679611650485436,0.8461538461538461
BATADAL,CNN,test,7,f2,2.0,0.57,0.01,0.3909952606635071,0.24812030075187969,0.1542056074766355,0.6346153846153846
BATADAL,LSTM,test,999,f2,2.0,0.6,0.01,0.33642691415313225,0.2109090909090909,0.13004484304932734,0.5576923076923077
BATADAL,GRU,test,999,f2,2.0,0.43,0.01,0.43278084714548803,0.24289405684754523,0.14029850746268657,0.9038461538461539
BATADAL,CNN,test,999,f2,2.0,0.49,0.01,0.3410981697171381,0.1842696629213483,0.10432569974554708,0.7884615384615384
