dataset,model,version,accuracy,precision,recall,f1_score,threshold,pos_weight,loss_name
SKAB,LSTM,tuned_threshold_weighted_loss,0.37840230139411374,0.36462338837367114,1.0,0.534394165423504,0.36,1.7417124262761847,bce
SKAB,GRU,baseline_0.5_threshold,0.6791325514494357,0.5872844827586207,0.3380893300248139,0.42913385826771655,0.5,1.7417124262761847,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.48329276388581544,0.36249524534043365,0.5911910669975186,0.44942230605989153,0.39,1.7417124262761847,bce
SKAB,CNN,baseline_0.5_threshold,0.6873202035848639,0.6261089987325729,0.3064516129032258,0.4114952103290296,0.5,1.7417124262761847,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3465368444346094,0.3349741570268275,0.8442928039702233,0.479647577092511,0.39,1.7417124262761847,bce
SKAB,LSTM,baseline_0.5_threshold,0.6163283515503012,0.463785046728972,0.4974937343358396,0.4800483675937122,0.5,1.7310036570499796,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.4563908097256302,0.3700957676861291,0.7506265664160401,0.4957583281605628,0.47,1.7310036570499796,bce
SKAB,GRU,baseline_0.5_threshold,0.5806379656480035,0.4296333002973241,0.543233082706767,0.47980077476480354,0.5,1.7310036570499796,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.35601159937541826,0.35601159937541826,1.0,0.525086362888633,0.42,1.7310036570499796,bce
SKAB,CNN,baseline_0.5_threshold,0.5953602498327013,0.4414607948442535,0.5150375939849624,0.47541931752458066,0.5,1.7310036570499796,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.35601159937541826,0.35601159937541826,1.0,0.525086362888633,0.43,1.7310036570499796,bce
SKAB,LSTM,baseline_0.5_threshold,0.6991308223757522,0.6198267564966313,0.40275171982489055,0.488248673237301,0.5,1.7504108463434676,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3563628259416091,0.3563628259416091,1.0,0.5254682878738087,0.31,1.7504108463434676,bce
SKAB,GRU,baseline_0.5_threshold,0.6006240249609984,0.4498179927197088,0.5409631019387117,0.49119818285065303,0.5,1.7504108463434676,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3563628259416091,0.3563628259416091,1.0,0.5254682878738087,0.4,1.7504108463434676,bce
SKAB,CNN,baseline_0.5_threshold,0.6291508803209271,0.480049109883364,0.4890556597873671,0.48451053283767037,0.5,1.7504108463434676,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3563628259416091,0.3563628259416091,1.0,0.5254682878738087,0.18,1.7504108463434676,bce
SKAB,LSTM,baseline_0.5_threshold,0.6313446126447017,0.5020576131687243,0.2206148282097649,0.3065326633165829,0.5,1.7605171352349682,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.7605171352349682,bce
SKAB,GRU,baseline_0.5_threshold,0.6302315227070348,0.49846153846153846,0.19529837251356238,0.28064097011693373,0.5,1.7605171352349682,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.4786286731967943,0.3785129847029527,0.6413502109704642,0.4760626398210291,0.43,1.7605171352349682,bce
SKAB,CNN,baseline_0.5_threshold,0.6257791629563668,0.4860759493670886,0.2314647377938517,0.3135973866884443,0.5,1.7605171352349682,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.5641139804096171,0.40323624595469254,0.3755274261603376,0.3888888888888889,0.4,1.7605171352349682,bce
SKAB,LSTM,baseline_0.5_threshold,0.6492976891708201,0.5318782309017805,0.5581675708257987,0.5447058823529412,0.5,1.7914438502673797,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3765292251925691,0.3761051915665382,1.0,0.5466227347611202,0.22,1.7914438502673797,bce
SKAB,GRU,baseline_0.5_threshold,0.6486180335296783,0.5309988518943742,0.5575647980711271,0.5439576595119082,0.5,1.7914438502673797,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3758495695514273,0.3758495695514273,1.0,0.5463527087106866,0.1,1.7914438502673797,bce
SKAB,CNN,baseline_0.5_threshold,0.5969642048028999,0.475,0.6871609403254972,0.5617147080561715,0.5,1.7914438502673797,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3758495695514273,0.3758495695514273,1.0,0.5463527087106866,0.1,1.7914438502673797,bce
SKAB,LSTM,baseline_0.5_threshold,0.5304136253041363,0.3111111111111111,0.26038437693738375,0.2834964562942963,0.5,1.7924917491749175,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.37270515372705154,0.3232148019658861,0.6931184128952262,0.44085173501577285,0.39,1.7924917491749175,bce
SKAB,GRU,baseline_0.5_threshold,0.6540588365405884,0.6368715083798883,0.07067575945443273,0.12723214285714285,0.5,1.7924917491749175,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.35722185357221853,0.35693737552555876,1.0,0.5260926288323549,0.38,1.7924917491749175,bce
SKAB,CNN,baseline_0.5_threshold,0.6533952665339526,0.526255707762557,0.28580285182889026,0.3704298915226999,0.5,1.7924917491749175,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3490378234903782,0.3388269510421716,0.8667079975201488,0.487192890747517,0.39,1.7924917491749175,bce
SKAB,LSTM,baseline_0.5_threshold,0.6579006017383553,0.5172981878088962,0.5894868585732165,0.5510383152968704,0.5,1.7327327327327327,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.434811678181413,0.3828085957021489,0.9586983729662077,0.5471428571428572,0.39,1.7327327327327327,bce
SKAB,GRU,baseline_0.5_threshold,0.6204591040784488,0.47651006711409394,0.6664580725907384,0.5557004956952778,0.5,1.7327327327327327,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3561399598841096,0.3561399598841096,1.0,0.5252259654889071,0.1,1.7327327327327327,bce
SKAB,CNN,baseline_0.5_threshold,0.6338310675284154,0.4900924702774108,0.6964956195244055,0.5753424657534246,0.5,1.7327327327327327,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.4521952306663695,0.3865435356200528,0.9167709637046307,0.5438010393466963,0.42,1.7327327327327327,bce
SKAB,LSTM,baseline_0.5_threshold,0.57181148090239,0.4068090017311021,0.44228356336260977,0.4238052299368801,0.5,1.7774584274276328,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.35648872012508376,0.35620111731843573,1.0,0.5252924699291481,0.39,1.7774584274276328,bce
SKAB,GRU,baseline_0.5_threshold,0.5333928970292606,0.38610216290842153,0.526348808030113,0.44544730554818157,0.5,1.7774584274276328,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.35738217556399376,0.3279699651381067,0.7672521957340025,0.4595153109148976,0.33,1.7774584274276328,bce
SKAB,CNN,baseline_0.5_threshold,0.5684610230064776,0.42407906558849956,0.5922208281053952,0.4942408376963351,0.5,1.7774584274276328,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3560419924056288,0.3560419924056288,1.0,0.5251194201943666,0.1,1.7774584274276328,bce
SKAB,LSTM,baseline_0.5_threshold,0.6291184327693677,0.49525101763907736,0.22001205545509342,0.3046744574290484,0.5,1.8137111898312148,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.8137111898312148,bce
