dataset,model,family,split,seed,training_time_seconds,inference_time_seconds,test_examples,epochs_completed,pos_weight,loss_name
SKAB,GRU,DEEP,fold_1,2026,11.60659479998867,0.10997009999118745,4477,11,1.7778461538461539,bce
SKAB,CNN,DEEP,fold_1,2026,4.865899700002046,0.1169256999855861,4477,6,1.7778461538461539,bce
SKAB,LSTM,DEEP,fold_2,2026,7.339979700016556,0.11500919997342862,4492,6,1.781633435582822,bce
SKAB,GRU,DEEP,fold_2,2026,6.5500730000203475,0.10397930000908673,4492,6,1.781633435582822,bce
SKAB,CNN,DEEP,fold_2,2026,4.897389399993699,0.08579449998796917,4492,6,1.781633435582822,bce
SKAB,LSTM,DEEP,fold_3,2026,6.98546460000216,0.10758890002034605,4432,6,1.8002499479275151,bce
SKAB,GRU,DEEP,fold_3,2026,9.400860199995805,0.107686500006821,4432,9,1.8002499479275151,bce
SKAB,CNN,DEEP,fold_3,2026,7.797921599994879,0.1085196000058204,4432,10,1.8002499479275151,bce
SKAB,LSTM,DEEP,fold_4,2026,9.463781200000085,0.11456410001846962,4519,8,1.7417124262761847,bce
SKAB,GRU,DEEP,fold_4,2026,11.86781830000109,0.10679239997989498,4519,11,1.7417124262761847,bce
SKAB,CNN,DEEP,fold_4,2026,4.775485499994829,0.08084739997866563,4519,6,1.7417124262761847,bce
SKAB,LSTM,DEEP,fold_0,7,13.721833299990976,0.12907669998821802,4483,12,1.7310036570499796,bce
SKAB,GRU,DEEP,fold_0,7,11.617245000001276,0.10951029998250306,4483,11,1.7310036570499796,bce
SKAB,CNN,DEEP,fold_0,7,6.419139200006612,0.09237759999814443,4483,8,1.7310036570499796,bce
SKAB,LSTM,DEEP,fold_1,7,8.07718069999828,0.11311020000721328,4487,7,1.7504108463434676,bce
SKAB,GRU,DEEP,fold_1,7,9.762248299986823,0.11211629997706041,4487,9,1.7504108463434676,bce
SKAB,CNN,DEEP,fold_1,7,5.603829800005769,0.07844260000274517,4487,7,1.7504108463434676,bce
SKAB,LSTM,DEEP,fold_2,7,12.857049599988386,0.12616350001189858,4492,11,1.7605171352349682,bce
SKAB,GRU,DEEP,fold_2,7,7.492967700003646,0.11284340001293458,4492,7,1.7605171352349682,bce
SKAB,CNN,DEEP,fold_2,7,7.177477199991699,0.08704100002069026,4492,9,1.7605171352349682,bce
SKAB,LSTM,DEEP,fold_3,7,7.054618199996185,0.11789339999086224,4414,6,1.7914438502673797,bce
SKAB,GRU,DEEP,fold_3,7,6.476441800012253,0.10938829998485744,4414,6,1.7914438502673797,bce
SKAB,CNN,DEEP,fold_3,7,4.742868200002704,0.10983579998719506,4414,6,1.7914438502673797,bce
SKAB,LSTM,DEEP,fold_4,7,11.837326600012602,0.1134363999881316,4521,10,1.7924917491749175,bce
SKAB,GRU,DEEP,fold_4,7,7.202039299998432,0.11592380001093261,4521,6,1.7924917491749175,bce
SKAB,CNN,DEEP,fold_4,7,5.058723800000735,0.09237650001887232,4521,6,1.7924917491749175,bce
SKAB,LSTM,DEEP,fold_0,999,9.873944799997844,0.12480309998500161,4487,8,1.7327327327327327,bce
SKAB,GRU,DEEP,fold_0,999,7.354884599975776,0.14400339999701828,4487,6,1.7327327327327327,bce
SKAB,CNN,DEEP,fold_0,999,25.619370700005675,0.08468499997979961,4487,31,1.7327327327327327,bce
SKAB,LSTM,DEEP,fold_1,999,11.900290999998106,0.12531669999589212,4477,10,1.7774584274276328,bce
