dataset,split,window_size,alphabet_size,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,state_count_mean,state_count_std,state_count_min,state_count_max,transition_count_mean,transition_count_std,transition_count_min,transition_count_max,transition_sources_mean,transition_sources_std,transition_sources_min,transition_sources_max,transition_density_mean,transition_density_std,transition_density_min,transition_density_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
SKAB,fold_0,6,4,0.5612301174327354,0.027371386445064944,0.5140939597315436,0.5833333333333334,0.18827345537757437,0.03216950128917497,0.1391304347826087,0.22807017543859648,0.0487764627008071,0.00539523595668968,0.04316546762589928,0.05734767025089606,0.07669042112713921,0.004196434462216251,0.07017543859649122,0.08121827411167512,190.4,15.757537878742351,174,212,303.0,24.969981978367546,269,337,190.4,15.757537878742351,174,212,0.008411542912492498,0.0008141471053300226,0.007498220007119971,0.00964460298586339,28.6,15.836666315863324,16,52
SKAB,fold_0,6,5,0.565787751411826,0.017761470749455676,0.5449664429530201,0.5871313672922251,0.2548360621082268,0.05874977027109079,0.15853658536585366,0.3018867924528302,0.08395348237539002,0.027832092578699875,0.04659498207885305,0.11510791366906475,0.12536030306358423,0.03713498659074326,0.07202216066481995,0.16666666666666666,254.6,15.69394787808345,229,272,393.8,30.260535355475785,345,427,254.6,15.69394787808345,229,272,0.006085097347986805,0.0003000612478601864,0.005771518166089965,0.006578821914151141,44.4,11.717508267545622,29,56
SKAB,fold_0,6,6,0.5214732935667478,0.02416422699790079,0.48655913978494625,0.5443548387096774,0.19229200633522553,0.030022349460026146,0.15873015873015872,0.2361111111111111,0.0874990330316392,0.024851530177281603,0.06115107913669065,0.12186379928315412,0.1193557288796199,0.02790343348287699,0.09115281501340483,0.1607565011820331,359.6,25.93838853899756,327,392,549.0,31.780497164141416,503,589,359.6,25.93838853899756,327,392,0.00427127916640458,0.0003814432574112625,0.0038330383173677636,0.004704055962367552,77.0,22.693611435820433,50,102
SKAB,fold_1,3,3,0.6371042843773449,0.005439438614559765,0.6303475935828877,0.6430953969312875,0.3002899796415977,0.035159526780586876,0.2727272727272727,0.3582089552238806,0.030978269135152524,0.014657063324063677,0.013358778625954198,0.04597701149425287,0.05554146669011535,0.02492752152973973,0.025500910746812388,0.08149405772495756,19.6,1.3416407864998738,19,22,40.2,2.2803508501982765,38,44,19.6,1.3416407864998738,19,22,0.10516242760010072,0.00829229687148835,0.09090909090909091,0.11080332409972299,1.2,1.0954451150103321,0,2
SKAB,fold_1,3,4,0.6232021456966558,0.012547617247115343,0.6129679144385026,0.6417611741160774,0.21404521927468387,0.07773320435466316,0.08571428571428572,0.2903225806451613,0.031781036780773556,0.019493910775324915,0.005714285714285714,0.04980842911877394,0.054114777456383024,0.03145680247783351,0.010714285714285714,0.08293460925039872,32.4,1.949358868961792,30,35,68.0,4.636809247747852,64,75,32.4,1.949358868961792,30,35,0.06494727696635882,0.004084650444983094,0.061224489795918366,0.07111111111111111,2.4,1.816590212458495,0,5
SKAB,fold_1,3,5,0.6290812879412181,0.012749813874385415,0.6183155080213903,0.6497665110073382,0.2729531911501351,0.08783297682539776,0.1568627450980392,0.4,0.031368722763300286,0.020728798104845937,0.003816793893129771,0.05172413793103448,0.054007466906555536,0.034354346766058586,0.007561436672967864,0.08653846153846154,50.2,2.8635642126552705,46,54,108.4,10.922453936730518,97,124,50.2,2.8635642126552705,46,54,0.04304549981077207,0.0030376691230089093,0.03806228373702422,0.045841209829867675,6.6,5.319774431308154,2,15
SKAB,fold_1,3,6,0.6284101653033097,0.014978032445666489,0.6116310160427807,0.6484322881921281,0.24771012657435793,0.04836388455907416,0.18292682926829268,0.2916666666666667,0.02946833962153783,0.022250970275898032,0.003816793893129771,0.06513409961685823,0.05045896139177107,0.0349190344205544,0.007532956685499058,0.10477657935285054,68.0,5.999999999999999,63,78,154.8,18.753666308218243,136,185,68.0,5.999999999999999,63,78,0.03353106575174614,0.0018445860101559963,0.030407626561472716,0.03502958579881657,9.2,11.233877335986895,2,29
SKAB,fold_1,4,3,0.6332043086796499,0.005907704331181862,0.6285714285714286,0.6419642857142858,0.3001377978964186,0.08341346991744489,0.25,0.4482758620689655,0.023582914572864322,0.008460840297508038,0.01,0.032663316582914576,0.04353720773270666,0.015374728429580082,0.019230769230769232,0.06088992974238876,38.4,1.51657508881031,37,41,73.6,2.966479394838263,71,78,38.4,1.51657508881031,37,41,0.04998513503203743,0.0023010366663612975,0.04640095181439619,0.05193905817174515,1.2,1.0954451150103321,0,2
SKAB,fold_1,4,4,0.6158924293946053,0.0140183160243981,0.5976806422836753,0.6331255565449688,0.23217958385700319,0.044305679754535476,0.17857142857142858,0.3,0.03412060301507538,0.015356684950120457,0.0125,0.05025125628140704,0.058398508850862826,0.02410497240805093,0.023696682464454975,0.0814663951120163,62.8,3.1144823004794873,58,66,120.4,4.878524367060187,113,126,62.8,3.1144823004794873,58,66,0.030620629236761204,0.0019920164704854545,0.02863905325443787,0.03359096313912009,3.0,4.06201920231798,0,10
SKAB,fold_1,4,5,0.6262344645945015,0.012058350191469579,0.6089285714285714,0.6384683882457702,0.3383158508158508,0.05121976509855396,0.2916666666666667,0.4230769230769231,0.05169095477386935,0.023221881141357602,0.0125,0.07035175879396985,0.08774130753980698,0.03699670627390619,0.02403846153846154,0.1134453781512605,95.8,12.794530081249565,84,115,181.4,18.60913754046651,161,207,95.8,12.794530081249565,84,115,0.020159668362015947,0.003115238294850373,0.01565217391304348,0.02352607709750567,10.2,11.606032913963324,2,30
