dataset,family,model,split,scenario,noise_level,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
BATADAL,DEEP,LSTM,test,original,0.0,0.8660170523751523,0.0,0.8660170523751523,0.8660170523751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,821,821,,,,
SKAB,AUTOMATA,AUTOMATA,fold_0,noise,0.05,0.6179787128564694,0.0039974424427275425,0.6122994652406417,0.6229946524064172,0.21417086079880998,0.053595726838559454,0.14,0.2698412698412698,0.02909794586969937,0.011478123838917607,0.017543859649122806,0.04271356783919598,0.05110129041827786,0.019312188837359266,0.031180400890868598,0.0737527114967462,1121.4,1.341640786499857,1120,1123,3.8,2.280350850198276,1.0,7.0
SKAB,AUTOMATA,AUTOMATA,fold_0,noise,0.1,0.6176212516901847,0.005561448245546537,0.6105169340463458,0.6256684491978609,0.20782417491816826,0.060552566947932346,0.10416666666666667,0.25862068965517243,0.02759166761123915,0.011106062075604049,0.012531328320802004,0.03768844221105527,0.04856454601909539,0.018830998008889148,0.02237136465324385,0.06578947368421052,1121.4,1.341640786499857,1120,1123,4.0,2.23606797749979,1.0,7.0
SKAB,AUTOMATA,AUTOMATA,fold_0,noise,0.2,0.6163702984634314,0.0044531931291090995,0.6114081996434938,0.6221033868092691,0.2125694892127302,0.03765974041130069,0.16363636363636364,0.2545454545454545,0.029591655016939333,0.00840620044457595,0.020050125313283207,0.04020100502512563,0.051836111443099464,0.01397406493834475,0.03636363636363636,0.06911447084233262,1121.4,1.341640786499857,1120,1123,4.8,2.8635642126552705,1.0,8.0
SKAB,AUTOMATA,AUTOMATA,fold_0,original,0.0,0.6179787120061333,0.005281512666903229,0.6122994652406417,0.6256684491978609,0.21215700267618195,0.04651353401110152,0.14,0.2631578947368421,0.028090408181257166,0.00980089321790779,0.017543859649122806,0.03768844221105527,0.049457311624734115,0.01652667228286274,0.031180400890868598,0.06593406593406594,1121.4,1.341640786499857,1120,1123,4.0,2.6457513110645907,1.0,8.0
SKAB,AUTOMATA,AUTOMATA,fold_1,noise,0.05,0.6319558982422503,0.005533546663131818,0.6267857142857143,0.6401785714285714,0.2871249359959037,0.07645113755420035,0.2222222222222222,0.41935483870967744,0.024082914572864322,0.008637544519355918,0.01,0.032663316582914576,0.04426305107719961,0.015583641192884572,0.019138755980861243,0.06060606060606061,1121.6,1.8165902124584903,1120,1124,1.2,1.0954451150103321,0.0,2.0
SKAB,AUTOMATA,AUTOMATA,fold_1,noise,0.1,0.6328468480805088,0.00656838411907262,0.6267857142857143,0.6419642857142858,0.31242016024910757,0.08879550882853578,0.21875,0.45454545454545453,0.026582914572864325,0.0101287605663945,0.015,0.03768844221105527,0.04874493488667818,0.018055110245448026,0.028639618138424822,0.06960556844547564,1121.6,1.8165902124584903,1120,1124,1.2,1.0954451150103321,0.0,2.0
SKAB,AUTOMATA,AUTOMATA,fold_1,noise,0.2,0.6323119285753375,0.005519278957033747,0.6267857142857143,0.6401785714285714,0.30745037717042195,0.07616196035369772,0.2571428571428571,0.4358974358974359,0.028592964824120604,0.011983123686102565,0.0125,0.04271356783919598,0.052070816973764464,0.02120432842986987,0.02386634844868735,0.07780320366132723,1121.6,1.8165902124584903,1120,1124,1.2,1.0954451150103321,0.0,2.0
SKAB,AUTOMATA,AUTOMATA,fold_1,original,0.0,0.6332043086796499,0.005907704331181862,0.6285714285714286,0.6419642857142858,0.3001377978964186,0.08341346991744489,0.25,0.4482758620689655,0.023582914572864322,0.008460840297508038,0.01,0.032663316582914576,0.04353720773270666,0.015374728429580082,0.019230769230769232,0.06088992974238876,1121.6,1.8165902124584903,1120,1124,1.2,1.0954451150103321,0.0,2.0
SKAB,AUTOMATA,AUTOMATA,fold_2,noise,0.05,0.6220640569395017,0.0030431728427912728,0.6183274021352313,0.6263345195729537,0.34825053611706797,0.032776245622826466,0.30434782608695654,0.38461538461538464,0.030434782608695653,0.00975199480105621,0.016908212560386472,0.04106280193236715,0.05569256449952863,0.016803665967163994,0.032036613272311214,0.07391304347826087,1124.0,0.0,1124,1124,0.6,1.3416407864998738,0.0,3.0
